Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status,Metafield: custom.bh_concern [string],Metafield: custom.bh_gender [string],Metafield: custom.bh_segment [string],Metafield: custom.bh_score [integer],Metafield: custom.bh_follow_up [string]
redensyl-grow-hair-tonic,Redensyl Grow Hair Tonic,<p>Redensyl 3% is a breakthrough ingredient for hair growth. This paraben free hair growth tonic is the easiest and safest method for you to control hair loss and regrow your lost hair. Redensyl Hair Ton</p>,Man Matters,,Hair,"hair, Man Matters, hair",TRUE,Title,Default Title,redensyl-grow-hair-tonic,0,shopify,100,continue,manual,649,697,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604745649/Man%20Matters/Card%20image%20change/Hair/Tonic/Grow-Hair-Tonic_1600X1200.jpg?tr=w-800,1,Redensyl Grow Hair Tonic,FALSE,Redensyl Grow Hair Tonic,,,,,,new,FALSE,,,,,,,g,,,TRUE,649,697,active,hair,male,male-18-25,77,
2x-calm-sleep-tea-1x-sleep-strips,2x CALM Sleep Tea + 1x Sleep Strips,<p>Using many skin products but not seeing results? Our diets and topical treatments often don't provide enough skin nutrients necessary for skin health. These Hyaluronic Acid Skin Gummies help fill thes</p>,Man Matters,,Sleep,"sleep, Man Matters, sleep",TRUE,Title,Default Title,2x-calm-sleep-tea-1x-sleep-strips,0,shopify,100,continue,manual,947,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1638423724/Man%20Matters/skin%20gummies/Skin-gummies--1month-pack_1600X1200.jpg?tr=w-800,1,2x CALM Sleep Tea + 1x Sleep Strips,FALSE,2x CALM Sleep Tea + 1x Sleep Strips,,,,,,new,FALSE,,,,,,,g,,,TRUE,947,,active,sleep,male,"male-18-25,male-25-35,male-35-plus",70,
relax-melatonin-strips-30-strips,Relax Melatonin Strips| 30 Strips,"<p>A sleep strip that dissolves on your tongue, and naturally signals your brain to sleep. It can be used to regulate your sleep cycle.</p>",Man Matters,,Sleep,"sleep, Man Matters, sleep",TRUE,Title,Default Title,relax-melatonin-strips-30-strips,0,shopify,100,continue,manual,598,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604746834/Man%20Matters/Card%20image%20change/sleep/strips/Relax-Melatonin-Strips_1600X1200.jpg?tr=w-800,1,Relax Melatonin Strips| 30 Strips,FALSE,Relax Melatonin Strips| 30 Strips,,,,,,new,FALSE,,,,,,,g,,,TRUE,598,,active,sleep,male,"male-18-25,male-25-35,male-35-plus",80,
relax-sleep-tablets,Relax Sleep Tablets,<p>Is getting your sleep cycle on track a constant struggle? Do you wake up not feeling well rested? Our sleep tablets are a 100% natural solution to help you sleep when you need to and boost your sleep </p>,Man Matters,,Sleep,"sleep, Man Matters, sleep",TRUE,Title,Default Title,relax-sleep-tablets,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604746863/Man%20Matters/Card%20image%20change/sleep/tablets/Sleep-Tablets_1600X1200.jpg?tr=w-800,1,Relax Sleep Tablets,FALSE,Relax Sleep Tablets,,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active,sleep,male,"male-18-25,male-25-35,male-35-plus",79,
2x-relax-melatonin-strips,2x Relax Melatonin Strips,"<p>A sleep strip that dissolves on your tongue, and naturally signals your brain to sleep. It can be used to regulate your sleep cycle.</p>",Man Matters,,Sleep,"sleep, Man Matters, sleep",TRUE,Title,Default Title,2x-relax-melatonin-strips,0,shopify,100,continue,manual,549,596,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1600938089/Man%20Matters/sleep%20strips/Relax-Sleep-strips2pack_1600X1200.jpg?tr=w-800,1,2x Relax Melatonin Strips,FALSE,2x Relax Melatonin Strips,,,,,,new,FALSE,,,,,,,g,,,TRUE,549,596,active,sleep,male,"male-18-25,male-25-35,male-35-plus",72,
2x-relax-melatonin-strips-60-strips,2x Relax Melatonin Strips| 60 Strips,"<p>A sleep strip that dissolves on your tongue, and naturally signals your brain to sleep. It can be used to regulate your sleep cycle.</p>",Man Matters,,Sleep,"sleep, Man Matters, sleep",TRUE,Title,Default Title,2x-relax-melatonin-strips-60-strips,0,shopify,100,continue,manual,1099,1194,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1600938089/Man%20Matters/sleep%20strips/Relax-Sleep-strips2pack_1600X1200.jpg?tr=w-800,1,2x Relax Melatonin Strips| 60 Strips,FALSE,2x Relax Melatonin Strips| 60 Strips,,,,,,new,FALSE,,,,,,,g,,,TRUE,1099,1194,active,sleep,male,"male-18-25,male-25-35,male-35-plus",70,
sapien-grey-blue-l-trunks,SAPIEN-Grey+Blue-L-Trunks,"<p>Packed with argan oil and shea butter to keep your hair moisturized and healthy, this keratin infused conditioner restores and protects naturally occuring keratin in your hair. This repairs dry and da</p>",Man Matters,,Energy,"energy, weight, Man Matters, energy",TRUE,Title,Default Title,sapien-grey-blue-l-trunks,0,shopify,100,continue,manual,899,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1460518/Conditioner_1200x1600_kfDb5U6E7.jpg?tr=w-600,1,SAPIEN-Grey+Blue-L-Trunks,FALSE,SAPIEN-Grey+Blue-L-Trunks,,,,,,new,FALSE,,,,,,,g,,,TRUE,899,,active,"energy,weight",male,"male-18-25,male-25-35,male-35-plus",70,
apple-cider-vinegar-gummies-60-gummies,Apple Cider Vinegar Gummies | 60 Gummies,"<p>ACV gummies are the most convenient way to get your daily dose of ACV. ACV’s acetic acid content improves digestion and metabolism, chicory inulin reduces your hunger pangs and fiber keeps you full.</p>",Man Matters,,Weight,"weight, Man Matters, weight",TRUE,Title,Default Title,apple-cider-vinegar-gummies-60-gummies,0,shopify,100,continue,manual,999,1189,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1619678941/Man%20Matters/ACV%20Gummies/2m%20pack/product%20images/Gummies-60-pack_1600X1200.jpg?tr=w-800,1,Apple Cider Vinegar Gummies | 60 Gummies,FALSE,Apple Cider Vinegar Gummies | 60 Gummies,,,,,,new,FALSE,,,,,,,g,,,TRUE,999,1189,active,weight,male,"male-18-25,male-25-35,male-35-plus",79,
apple-cider-vinegar-gummies-4-month-pack-120-gummies,Apple Cider Vinegar Gummies| 4 Month Pack| 120 Gummies,"<p>Made using PURE Apple Cider Vinegar, ACV gummies are the most convenient way to get your daily dose of ACV. ACV’s acetic acid content improves digestion and metabolism, chicory inulin reduces your hun</p>",Man Matters,,Weight,"weight, Man Matters, weight",TRUE,Title,Default Title,apple-cider-vinegar-gummies-4-month-pack-120-gummies,0,shopify,100,continue,manual,1919,2369,TRUE,TRUE,https://i.mscwlns.co/products/wp-content/2020/07/pdp_3months_acv.png,1,Apple Cider Vinegar Gummies| 4 Month Pack| 120 Gummies,FALSE,Apple Cider Vinegar Gummies| 4 Month Pack| 120 Gummies,,,,,,new,FALSE,,,,,,,g,,,TRUE,1919,2369,active,weight,male,"male-18-25,male-25-35,male-35-plus",72,
dandruff-fighting-kit-1x-anti-dandruff-shampoo-1x-hair-condi,Dandruff Fighting Kit| 1x Anti Dandruff Shampoo + 1x Hair Conditioner,<p>This kit provides your hair with necessary nutrients to fight flakes.</p>,Man Matters,,Energy,"energy, weight, dandruff, Man Matters, energy",TRUE,Title,Default Title,dandruff-fighting-kit-1x-anti-dandruff-shampoo-1x-hair-condi,0,shopify,100,continue,manual,549,596,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604745212/Man%20Matters/Card%20image%20change/Hair/ADS%2BCond/ADS-_-Conditioner_1600x1200.jpg?tr=w-800,1,Dandruff Fighting Kit| 1x Anti Dandruff Shampoo + 1x Hair Conditioner,FALSE,Dandruff Fighting Kit| 1x Anti Dandruff Shampoo + 1x Hair Conditioner,,,,,,new,FALSE,,,,,,,g,,,TRUE,549,596,active,hair,male,"male-18-25,male-25-35,male-35-plus",79,dandruff
gut-health-powder,NoBloat Gut health Blend,<b>No Bloat Gut Health Blend – For Bloating & Better Digestion</b><br/><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,energy,male,"male-18-25,male-25-35,male-35-plus",70,"dailysupplements,daily nutrition,vitamins & supplements,nutrition"
Bloating,gas,or heaviness after meals? This daily gut health blend targets the root cause - not just symptoms.<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Man Matters,,Energy,energy",dailysupplements,daily nutrition,vitamins & supplements,nutrition,Man Matters,"energy,TRUE,Title,Default Title,gut-health-powder,0,shopify,100,continue,manual,299,398,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2023036/Gut%20health%20%20%281%29_ayvk55.png?tr=w-600,1,NoBloat Gut health Blend,FALSE,NoBloat Gut health Blend,,,,,,new,FALSE,,,,,,,g,,,TRUE,299,398,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effective-weight-loss-solution,Effective weight loss solution,"<p>😍<b> India's first COACH-LED supplements program </b></br></br>If you have tried everything you could to lose weight, and still haven't managed to achieve your goals, <b> Man Matters has got you cover</p>",Man Matters,,Energy,"energy, weight, weight loss solution, Man Matters, energy",TRUE,Title,Default Title,effective-weight-loss-solution,0,shopify,100,continue,manual,1299,2095,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2023005/Untitled%20design%20%2836%29_2593nh.png?tr=w-600,1,Effective weight loss solution,FALSE,Effective weight loss solution,,,,,,new,FALSE,,,,,,,g,,,TRUE,1299,2095,active,"energy,weight",male,"male-18-25,male-25-35",79,weight loss solution
anti-dandruff-daily-use-shampoo,Mild Dandruff Kit for Dry Scalp,<b>In 90 days you will never worry about flaking again!</b> ✨</br>This kit is curated to your scalp condition to help you treat flaking so that it doesn’t appear seasonally again. This kit is ideal fo,Man Matters,,Hair,"hair, stage 1, dandruff, mild, dandruff, Man Matters, hair",TRUE,Title,Default Title,anti-dandruff-daily-use-shampoo,0,shopify,100,continue,manual,649,983,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2023056/214123e23e_2je03w.png?tr=w-600,1,Mild Dandruff Kit for Dry Scalp,FALSE,Mild Dandruff Kit for Dry Scalp,,,,,,new,FALSE,,,,,,,g,,,TRUE,649,983,active,hair,male,"male-18-25,male-25-35,male-35-plus",81,"stage 1,dandruff,mild,dandruff"
anti-dandruff-daily-use-shampoo-mm,Mild Dandruff Kit for Dry Scalp & Sticky Scales,<b>In 90 days you will never worry about flaking again!</b> ✨</br>This kit is curated to your scalp condition to help you treat flaking so that it doesn’t appear seasonally again. This kit is ideal fo,Man Matters,,Hair,"hair, stage 1, dandruff, mild, dandruff, Man Matters, hair",TRUE,Title,Default Title,anti-dandruff-daily-use-shampoo-mm,0,shopify,100,continue,manual,948,1394,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2023060/1234243422_8wsnxo.png?tr=w-600,1,Mild Dandruff Kit for Dry Scalp & Sticky Scales,FALSE,Mild Dandruff Kit for Dry Scalp & Sticky Scales,,,,,,new,FALSE,,,,,,,g,,,TRUE,948,1394,active,hair,male,"male-18-25,male-25-35,male-35-plus",81,"stage 1,dandruff,mild,dandruff"
1x-minoxidil-1x-water-softener,Water Softener + Minoxidil 5% with Procapil,<b>Stage 2 HairFall</b> is when you are experiencing hair thinning for over a year and have a receding hairline.</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hair,male,"male-18-25,male-25-35",73,stage 4
This treatment kit contains:</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Water Softener</b> reduces the co,Man Matters,,Hair,hair",stage 4,Man Matters,"hair,TRUE,Title,Default Title,1x-minoxidil-1x-water-softener,0,shopify,100,continue,manual,999,1135,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2023116/3_f4bz2i.png?tr=w-600,1,Water Softener + Minoxidil 5% with Procapil,FALSE,Water Softener + Minoxidil 5% with Procapil,,,,,,new,FALSE,,,,,,,g,,,TRUE,999,1135,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023119,Beard Activator+ Kit,<p>👉 <b>Why this solution for 23+ age?</b><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hair,male,"male-18-25,male-25-35,male-35-plus",80,
Mostly till 23,majority of beard growth happens. After 23,an appropriate push is required from the roots for beard growth💪<br/><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This treatment kit </p>,Man Matters,,Weight,weight",Man Matters,"weight,TRUE,Title,Default Title,2023119,0,shopify,100,continue,manual,799,986,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2023119/Beardmax%20-%20Mahesh_product_images%20%281000%20%C3%97%20750%20px%29%20%28600%20%C3%97%20450%20px%29%20%2814%29_fzap01.png?tr=w-600,1,Beard Activator+ Kit,FALSE,Beard Activator+ Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,799,986,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beard-gummies-30n,BeardMax + NoBloat Gut health Blend,"<p>⚠️If you have <b>patchy or uneven beard growth</b> on cheek area, use the <u><a href=https://manmatters.com/dp/less-dense-beard-solution/26166944>Patchy Beard Solution</a></u><br/><br/><b>Beard Health</p>",Man Matters,,Weight,"weight, hair, Man Matters, weight",TRUE,Title,Default Title,beard-gummies-30n,0,shopify,100,continue,manual,949,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/22189260/1_45fjts.jpg?tr=w-600,1,BeardMax + NoBloat Gut health Blend,FALSE,BeardMax + NoBloat Gut health Blend,,,,,,new,FALSE,,,,,,,g,,,TRUE,949,,active,"hair,energy",male,male-18-25,70,
daily-heath-booster,Daily Health Booster,"<p>🌱<b>Key Ingredients:</b> <b>Daily Health Booster</b> is a unique blend of Ayurvedic ingredients, including <b>Hingwashtak churna</b> and <b>Laghu sutshekhar ras</b>, known for their digestive benefits</p>",Man Matters,,Energy,"energy, weight, dailysupplements, daily nutrition, Man Matters, energy",TRUE,Title,Default Title,daily-heath-booster,0,shopify,100,continue,manual,300,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024127/Daily%20health%20booster_1ghdzj.jpg?tr=w-600,1,Daily Health Booster,FALSE,Daily Health Booster,,,,,,new,FALSE,,,,,,,g,,,TRUE,300,,active,"energy,weight",male,"male-18-25,male-25-35,male-35-plus",70,"dailysupplements,daily nutrition"
1x-anti-hairfall-shampoo-300ml-1x-hair-gummies-mm,Stage 1 Hair Fall Kit 6 months+ for Scalp Health (30+),<b>Stage 1</b> is when you are experiencing hair thinning for less than a year however have not yet experienced receding hairline </br></br>This treatment kit contains:</br><b>🥑 Biotin Hair Gummies</b,Man Matters,,Hair,"hair, hair thinning, Man Matters, hair",TRUE,Title,Default Title,1x-anti-hairfall-shampoo-300ml-1x-hair-gummies-mm,0,shopify,100,continue,manual,1349,2175,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/100366/HG%2030_AHS%20200_Hair%20Serum%2030_Derma%20roller_ll3l76.jpg?tr=w-600,1,Stage 1 Hair Fall Kit 6 months+ for Scalp Health (30+),FALSE,Stage 1 Hair Fall Kit 6 months+ for Scalp Health (30+),,,,,,new,FALSE,,,,,,,g,,,TRUE,1349,2175,active,hair,male,male-35-plus,80,hair thinning
beardmax-3-month-pack,3 Bottles - Beardmax,"<p>This expert prescription-based 5% Minoxidil with Gokshura Solution <br/> <br/> • Promotes <b> denser beard growth</b> when used for 3-4 months  😱 <br/> • Being alcohol-free, it causes<b> no irritation</p>",Man Matters,,Hair,"hair, Man Matters, hair",TRUE,Title,Default Title,beardmax-3-month-pack,0,shopify,100,continue,manual,1099,1485,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1633515162/Man%20Matters/New%20Pdps/Multipacks/Beardmax%203/Multipack-of-3-BeardMax-bottles_1600X1200.jpg?tr=w-800,1,3 Bottles - Beardmax,FALSE,3 Bottles - Beardmax,,,,,,new,FALSE,,,,,,,g,,,TRUE,1099,1485,active,hair,male,male-18-25,82,
shilajit-gummies,Shilajit Gummies 30N,<p>Man Matters <b>100% Pure & Natural</b> Shilajit Gummies - The Power of Shilajit Packed in a Delicious Gummy!</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hormones,male,"male-18-25,male-25-35,male-35-plus",71,musclegain
Shilajit Gummies help:</br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🟣Boost <b>Stamina & Strength</b></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🟣Improve <b>Pe</p>,Man Matters,,Hormones,hormones",musclegain,Man Matters,"hormones,TRUE,Title,Default Title,shilajit-gummies,0,shopify,100,continue,manual,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024331/Option_e2xtu6.png?tr=w-600,1,Shilajit Gummies 30N,FALSE,Shilajit Gummies 30N,,,,,,new,FALSE,,,,,,,g,,,TRUE,499,,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shilajit-gummies-mm,Shilajit Gummies (2 Month Pack),<p>Presenting India's first Shilajit Gummies!</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hormones,male,"male-18-25,male-25-35,male-35-plus",71,"musclegain,vitamins & supplements"
✔️Proprietary ShilAbsorb Formulation for 2.5x higher Bioavailability</br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✔️Third Party Lab Tested</br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"✔️Made from Shilajit Resin that passes 3 Pu</p>,Man Matters,,Hormones,hormones",musclegain,vitamins & supplements,Man Matters,"hormones,TRUE,Title,Default Title,shilajit-gummies-mm,0,shopify,100,continue,manual,1749,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024397/Shilajit%2060N%20Black%20wrapper_7p2my9.jpg?tr=w-600,1,Shilajit Gummies (2 Month Pack),FALSE,Shilajit Gummies (2 Month Pack),,,,,,new,FALSE,,,,,,,g,,,TRUE,1749,,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-ketoconazole-shampoo-100-ml-mm,Anti-Dandruff Shampoo (100 ml),"<p>This product is ideal for: </br><b>Mild flakes: </b> is slight flakes, occasional itching, and little scalp irritation, often linked to oiliness or yeast.<br/><b>Powdery flakes: </b> is when dry, whit</p>",Man Matters,,Hair,"hair, stage 1, dandruff, dandruff, Man Matters, hair",TRUE,Title,Default Title,1-ketoconazole-shampoo-100-ml-mm,0,shopify,100,continue,manual,299,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1144207/ADS_1b2kg6.png?tr=w-600,1,Anti-Dandruff Shampoo (100 ml),FALSE,Anti-Dandruff Shampoo (100 ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,299,,active,hair,male,"male-18-25,male-25-35,male-35-plus",81,"stage 1,dandruff,dandruff"
beard-growth-kit-1-month-pack,Beard Gummies for Less Dense beard,"<p>⚠️If you have <b>patchy or uneven beard growth</b> on cheek area, use the <u><a href=https://manmatters.com/dp/less-dense-beard-solution/11954287>Uneven Beard Solution</a></u><br/><br/><b>Less Dense B</p>",Man Matters,,Hair,"hair, low beard, Man Matters, hair",TRUE,Title,Default Title,beard-growth-kit-1-month-pack,0,shopify,100,continue,manual,449,498,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024336/Beard%20Gummies_bbgj46.png?tr=w-600,1,Beard Gummies for Less Dense beard,FALSE,Beard Gummies for Less Dense beard,,,,,,new,FALSE,,,,,,,g,,,TRUE,449,498,active,hair,male,"male-18-25,male-25-35,male-35-plus",82,low beard
beard-growth-kit-1-month-pack-mm,Beard Gummies for Less Dense beard - 2 Months,<p>👉 <b>Why this solution for 30+ age?</b><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hair,male,"male-18-25,male-25-35,male-35-plus",82,low beard
Mostly till 30,majority of beard growth happens. After 30,"an appropriate push is required from the roots for beard growth<br/><br/>Beard Growth Kit for L</p>,Man Matters,,Hair,hair",low beard,Man Matters,"hair,TRUE,Title,Default Title,beard-growth-kit-1-month-pack-mm,0,shopify,100,continue,manual,549,980,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/22474844/BG%2030%20%282%29_1j89aw.jpg?tr=w-600,1,Beard Gummies for Less Dense beard - 2 Months,FALSE,Beard Gummies for Less Dense beard - 2 Months,,,,,,new,FALSE,,,,,,,g,,,TRUE,549,980,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete-performance-solution,Performance Kit,<b>🚀 ManMatters Performance Kit: Unleash Peak Performance & Lasting Pleasure</b></br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hormones,male,"male-18-25,male-25-35,male-35-plus",78,
Man Matters Performance kit combines the power of natural vitality with enhanced intimacy,"empowering you to ,Man Matters,,Hormones,hormones",Man Matters,"hormones,TRUE,Title,Default Title,complete-performance-solution,0,shopify,100,continue,manual,749,841,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Artboard%201%20%281%29_95z0yp.png?tr=w-600,1,Performance Kit,FALSE,Performance Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,749,841,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advanced-hair-regrowth-serum,Advanced Hair Regrowth Serum,"<p>⌛️<b>Visible results in 3-4 months..</b><br><br>🔮Hair-growth boosting tonic for a fuller-looking scalp and thicker growth.<br><br>🧪Enriched with <b>Redensyl, Aminexil, Anagain, Procapil and Baicapil</</p>",Man Matters,,Hair,"hair, stage 1, hair thinning, Man Matters, hair",TRUE,Title,Default Title,advanced-hair-regrowth-serum,0,shopify,100,continue,manual,649,889,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/26166956/Hair-gwoth-serum-_e46sb2.png?tr=w-600,1,Advanced Hair Regrowth Serum,FALSE,Advanced Hair Regrowth Serum,,,,,,new,FALSE,,,,,,,g,,,TRUE,649,889,active,hair,male,"male-18-25,male-25-35",74,"stage 1,hair thinning"
